Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus	domain	group	anchor
A0A7K7FTT0	A0A7K7FTT0_CHIMN	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 CHIMIN_R10910	Chionis minor (Black-faced sheathbill)	227182	1006	unreviewed	4.0	A0A7K7FTT0;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Charadriiformes (order), Chionididae (family), Chionis (genus)	Craniata	Aves	Charadriiformes	Chionididae	Chionis	euk	euk	
A0A1J1IHL0	A0A1J1IHL0_9DIPT	Lon protease homolog, mitochondrial (EC 3.4.21.53)	putative Lon protease homolog CLUMA_CG012999	Clunio marinus	568069	2323	unreviewed	4.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Chironomoidea (superfamily), Chironomidae (family), Orthocladiinae (subfamily), Clunio (genus)	Hexapoda	Insecta	Diptera	Chironomidae	Clunio	euk	euk	
A0A250WYM3	A0A250WYM3_9CHLO	DNA 3'-5' helicase (EC 5.6.2.4)	CEUSTIGMA_g3374.t1	Chlamydomonas eustigma	1157962	1059	unreviewed	3.0	A0A250WYM3;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Chlamydomonadaceae (family), Chlamydomonas (genus)		Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	euk	euk	
A0AAW1S6N8	A0AAW1S6N8_9CHLO	DNA 3'-5' helicase (EC 5.6.2.4)	WJX74_002775	Apatococcus lobatus	904363	1241	unreviewed	3.0	A0AAW1S6N8;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Trebouxiophyceae (class), Chlorellales (order), Chlorellaceae (family), Apatococcus (genus)		Trebouxiophyceae	Chlorellales	Chlorellaceae	Apatococcus	euk	euk	
A0A5B8MNC0	A0A5B8MNC0_9CHLO	DNA 3'-5' helicase (EC 5.6.2.4)	A3770_04p33500	Chloropicon primus	1764295	1123	unreviewed	3.0	A0A5B8MNC0;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Chloropicophyceae (class), Chloropicales (order), Chloropicaceae (family), Chloropicon (genus)		Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	euk	euk	
A0A1C7NRG6	A0A1C7NRG6_9FUNG	RecQ-like DNA helicase BLM (EC 5.6.2.4)	rqh1 A0J61_00386	Choanephora cucurbitarum	101091	1058	unreviewed	3.0	A0A1C7NRG6;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Choanephoraceae (family), Choanephoroideae (subfamily), Choanephora (genus)	Mucoromycotina	Mucoromycetes	Mucorales	Choanephoraceae	Choanephora	euk	euk	
A0A9B0T2Q7	A0A9B0T2Q7_CHRAS	ATP-dependent DNA helicase Q4 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ4) (DNA helicase, RecQ-like type 4) (RecQ protein-like 4)	RECQL4	Chrysochloris asiatica (Cape golden mole)	185453	1234	unreviewed	3.0	A0A9B0T2Q7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Afrotheria (superorder), Afrosoricida (order), Chrysochloridae (family), Chrysochlorinae (subfamily), Chrysochloris (genus)	Craniata	Mammalia	Afrosoricida	Chrysochloridae	Chrysochloris	euk	euk	
A0A0M0JR43	A0A0M0JR43_9EUKA	ATP-dependent DNA helicase (EC 5.6.2.4)	Ctob_005586	Chrysochromulina tobinii	1460289	766	unreviewed	3.0	A0A0M0JR43;	cellular organisms (no rank), Eukaryota (domain), Haptista (clade), Haptophyta (phylum), Prymnesiophyceae (clade), Prymnesiales (order), Chrysochromulinaceae (family), Chrysochromulina (genus)			Prymnesiales	Chrysochromulinaceae	Chrysochromulina	euk	euk	
A0A9P0KZW5	A0A9P0KZW5_ACAOB	DNA 3'-5' helicase (EC 5.6.2.4)	ACAOBT_LOCUS14382	Acanthoscelides obtectus (Bean weevil) (Bruchus obtectus)	200917	1249	unreviewed	3.0	A0A9P0KZW5;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Chrysomeloidea (superfamily), Chrysomelidae (family), Bruchinae (subfamily), Bruchini (tribe), Acanthoscelides (genus)	Hexapoda	Insecta	Coleoptera	Chrysomelidae	Acanthoscelides	euk	euk	
A0A507FQA8	A0A507FQA8_9FUNG	DNA 3'-5' helicase (EC 5.6.2.4)	CcCBS67573_g01234	Chytriomyces confervae	246404	1245	unreviewed	3.0	A0A507FQA8;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Chytriomyces (genus)		Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces	euk	euk	
A0A668RF64	A0A668RF64_OREAU	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	RECQL5	Oreochromis aureus (Israeli tilapia) (Chromis aureus)	47969	1019	unreviewed	4.0	A0A668RF64;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (clade), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Cichlomorphae (superorder), Cichliformes (order), Cichlidae (family), African cichlids (clade), Pseudocrenilabrinae (subfamily), Oreochromini (tribe), Oreochromis (genus)	Craniata	Actinopteri	Cichliformes	Cichlidae	Oreochromis	euk	euk	
A0AAN7NK73	A0AAN7NK73_MYCAM	ATP-dependent DNA helicase (EC 5.6.2.4)	QYF61_001722	Mycteria americana (Wood stork)	33587	667	unreviewed	3.0	A0AAN7NK73;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Aequornithes (clade), Ciconiiformes (order), Ciconiidae (family), Mycteria (genus)	Craniata	Aves	Ciconiiformes	Ciconiidae	Mycteria	euk	euk	
A0A8I6RTB1	A0A8I6RTB1_CIMLE	ATP-dependent DNA helicase (EC 5.6.2.4)		Cimex lectularius (Bed bug) (Acanthia lectularia)	79782	949	unreviewed	3.0	A0A8I6RTB1;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Paraneoptera (cohort), Hemiptera (order), Prosorrhyncha (clade), Heteroptera (suborder), Euheteroptera (clade), Neoheteroptera (clade), Panheteroptera (clade), Cimicomorpha (infraorder), Cimicoidea (superfamily), Cimicidae (family), Cimex (genus)	Hexapoda	Insecta	Hemiptera	Cimicidae	Cimex	euk	euk	
A0A7L2J8X9	A0A7L2J8X9_CINMU	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 CINMEX_R10301	Cinclus mexicanus (American dipper)	161649	1002	unreviewed	4.0	A0A7L2J8X9;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Cinclidae (family), Cinclus (genus)	Craniata	Aves	Passeriformes	Cinclidae	Cinclus	euk	euk	
A0A7K8MD41	A0A7K8MD41_9CORV	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 PTILEU_R10595	Ptilorrhoa leucosticta	449384	1002	unreviewed	4.0	A0A7K8MD41;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Corvoidea (superfamily), Cinclosomatidae (family), Ptilorrhoa (genus)	Craniata	Aves	Passeriformes	Cinclosomatidae	Ptilorrhoa	euk	euk	
F6Z6H7	F6Z6H7_CIOIN	DNA 3'-5' helicase (EC 5.6.2.4)	LOC100179894	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	1194	unreviewed	3.0	F6Z6H7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Tunicata (subphylum), Ascidiacea (class), Phlebobranchia (order), Cionidae (family), Ciona (genus)	Tunicata	Ascidiacea	Phlebobranchia	Cionidae	Ciona	euk	euk	
A0A7J7LA00	A0A7J7LA00_9MAGN	DNA 3'-5' helicase (EC 5.6.2.4)	GIB67_026220	Kingdonia uniflora	39325	1226	unreviewed	3.0	A0A7J7LA00;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Circaeasteraceae (family), Kingdonia (genus)	Streptophytina	Magnoliopsida	Ranunculales	Circaeasteraceae	Kingdonia	euk	euk	
A0A7L1QSL4	A0A7L1QSL4_9PASS	ATP-dependent DNA helicase (EC 5.6.2.4)	Recql5 CISJUN_R04380	Cisticola juncidis	52622	995	unreviewed	4.0	A0A7L1QSL4;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Sylvioidea (superfamily), Cisticolidae (family), Cisticola (genus)	Craniata	Aves	Passeriformes	Cisticolidae	Cisticola	euk	euk	
A0AA39R885	A0AA39R885_9LECA	DNA 3'-5' helicase (EC 5.6.2.4)	JMJ35_002502	Cladonia borealis	184061	1684	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), Lecanoromycetes (class), OSLEUM clade (clade), Lecanoromycetidae (subclass), Lecanorales (order), Lecanorineae (suborder), Cladoniaceae (family), Cladonia (genus)	Pezizomycotina	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	euk	euk	
A0AB34KVL3	A0AB34KVL3_9PEZI	ATP-dependent DNA helicase (EC 5.6.2.4)	WHR41_04234	Cladosporium halotolerans	1052096	829	unreviewed	3.0	A0AB34KVL3;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Cladosporiales (order), Cladosporiaceae (family), Cladosporium (genus)	Pezizomycotina	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	euk	euk	
A0A8J4UEU0	A0A8J4UEU0_CLAMG	ATP-dependent DNA helicase (EC 5.6.2.4)	recql5 DAT39_002109	Clarias magur (Asian catfish) (Macropteronotus magur)	1594786	965	unreviewed	3.0	A0A8J4UEU0;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (clade), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Siluriformes (order), Siluroidei (suborder), Clariidae (family), Clarias (genus)	Craniata	Actinopteri	Siluriformes	Clariidae	Clarias	euk	euk	
A0ABP0FXE6	A0ABP0FXE6_CLALP	DNA 3'-5' helicase (EC 5.6.2.4)	CVLEPA_LOCUS14490	Clavelina lepadiformis (Light-bulb sea squirt) (Ascidia lepadiformis)	159417	1316	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Tunicata (subphylum), Ascidiacea (class), Aplousobranchia (order), Clavelinidae (family), Clavelina (genus)	Tunicata	Ascidiacea	Aplousobranchia	Clavelinidae	Clavelina	euk	euk	
M1VWJ7	M1VWJ7_CLAP2	DNA 3'-5' helicase (EC 5.6.2.4)	CPUR_05245	Claviceps purpurea (strain 20.1) (Ergot fungus) (Sphacelia segetum)	1111077	1751	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Hypocreales (order), Clavicipitaceae (family), Claviceps (genus), Claviceps purpurea (species)	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	euk	euk	
A0A7K6QG73	A0A7K6QG73_9PASS	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 CLIRUF_R09141	Climacteris rufus (rufous treecreeper)	47695	1001	unreviewed	4.0	A0A7K6QG73;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Climacteridae (family), Climacteris (genus)	Craniata	Aves	Passeriformes	Climacteridae	Climacteris	euk	euk	
A0A9P5Y2M2	A0A9P5Y2M2_9AGAR	ATP-dependent DNA helicase (EC 5.6.2.4)	BDZ94DRAFT_1266488	Collybia nuda	64659	830	unreviewed	3.0	A0A9P5Y2M2;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Tricholomatineae (suborder), Clitocybaceae (family), Collybia (genus)	Agaricomycotina	Agaricomycetes	Agaricales	Clitocybaceae	Collybia	euk	euk	
A0A8M1K5W7	A0A8M1K5W7_CLUHA	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	recql5	Clupea harengus (Atlantic herring)	7950	1048	unreviewed	4.0	A0A8M1K5W7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (clade), Otomorpha (cohort), Clupei (subcohort), Clupeiformes (order), Clupeoidei (suborder), Clupeidae (family), Clupeinae (subfamily), Clupea (genus)	Craniata	Actinopteri	Clupeiformes	Clupeidae	Clupea	euk	euk	
A0A7M5XM92	A0A7M5XM92_9CNID	RecQ-like DNA helicase BLM (EC 5.6.2.4) (DNA 3'-5' helicase BLM)		Clytia hemisphaerica	252671	1256	unreviewed	3.0	A0A7M5XM92;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Cnidaria (phylum), Hydrozoa (class), Hydroidolina (subclass), Leptothecata (order), Obeliida (clade), Clytiidae (family), Clytia (genus)		Hydrozoa	Leptothecata	Clytiidae	Clytia	euk	euk	
A0AAN9TU79	A0AAN9TU79_9HEMI	RecQ-like DNA helicase BLM (EC 5.6.2.4) (Bloom syndrome protein homolog) (DNA 3'-5' helicase BLM) (RecQ helicase homolog) (Translation initiation factor eIF2B subunit alpha) (eIF2B GDP-GTP exchange factor subunit alpha)	V9T40_004529	Parthenolecanium corni	536013	1556	unreviewed	4.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Paraneoptera (cohort), Hemiptera (order), Sternorrhyncha (suborder), Coccoidea (superfamily), Coccidae (family), Parthenolecanium (genus)	Hexapoda	Insecta	Hemiptera	Coccidae	Parthenolecanium	euk	euk	
A0ABD2MII3	A0ABD2MII3_9CUCU	DNA 3'-5' helicase (EC 5.6.2.4)	HHI36_010353	Cryptolaemus montrouzieri	559131	1018	unreviewed	3.0	A0ABD2MII3;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Coccinelloidea (superfamily), Coccinellidae (family), Scymninae (subfamily), Scymnini (tribe), Cryptolaemus (genus)	Hexapoda	Insecta	Coleoptera	Coccinellidae	Cryptolaemus	euk	euk	
I0YJN2	I0YJN2_COCSC	DNA 3'-5' helicase (EC 5.6.2.4)	COCSUDRAFT_49276	Coccomyxa subellipsoidea (strain C-169) (Green microalga)	574566	891	unreviewed	3.0	I0YJN2;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Trebouxiophyceae (class), Trebouxiophyceae incertae sedis (no rank), Coccomyxaceae (family), Coccomyxa (genus), Coccomyxa subellipsoidea (species)		Trebouxiophyceae		Coccomyxaceae	Coccomyxa	euk	euk	
A0A850X2W3	A0A850X2W3_PIACA	ATP-dependent DNA helicase (EC 5.6.2.4)	Recql5 PIACAY_R01178	Piaya cayana (Common squirrel cuckoo)	33601	995	unreviewed	4.0	A0A850X2W3;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Otidimorphae (clade), Cuculiformes (order), Coccyzidae (family), Piaya (genus)	Craniata	Aves	Cuculiformes	Coccyzidae	Piaya	euk	euk	
H3AVQ4	H3AVQ4_LATCH	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	RECQL5	Latimeria chalumnae (Coelacanth)	7897	1041	unreviewed	4.0	H3AVQ4;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Coelacanthimorpha (clade), Coelacanthiformes (order), Coelacanthidae (family), Latimeria (genus)	Craniata		Coelacanthiformes	Coelacanthidae	Latimeria	euk	euk	
A0A9P6NZH0	A0A9P6NZH0_9BASI	DNA 3'-5' helicase (EC 5.6.2.4)	CROQUDRAFT_35761	Cronartium quercuum f. sp. fusiforme G11	708437	707	unreviewed	3.0	A0A9P6NZH0;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Pucciniomycetes (class), Pucciniales (order), Coleosporiaceae (family), Cronartium (genus), Cronartium quercuum (species), Cronartium quercuum f. sp. fusiforme (no rank)	Pucciniomycotina	Pucciniomycetes	Pucciniales	Coleosporiaceae	Cronartium	euk	euk	
A0A852KN49	A0A852KN49_UROIN	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 UROIND_R08111	Urocolius indicus (Red-faced mousebird) (Colius indicus)	458196	1006	unreviewed	4.0	A0A852KN49;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Coraciimorphae (clade), Coliiformes (order), Coliidae (family), Urocolius (genus)	Craniata	Aves	Coliiformes	Coliidae	Urocolius	euk	euk	
A0A6P9B0L0	A0A6P9B0L0_PANGU	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	LOC117660503 LOC132708901	Pantherophis guttatus (Corn snake) (Elaphe guttata)	94885	1034	unreviewed	4.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Lepidosauria (class), Squamata (order), Bifurcata (clade), Unidentata (clade), Episquamata (clade), Toxicofera (clade), Serpentes (infraorder), Colubroidea (superfamily), Colubridae (family), Colubrinae (subfamily), Pantherophis (genus)	Craniata	Lepidosauria	Squamata	Colubridae	Pantherophis	euk	euk	
