tip	accession	source	core_plddt
A0AAD7TST6_Trametes	A0AAD7TST6	AFDB	88.61
A0AAD7TZE9_Trametes	A0AAD7TZE9	AFDB	89.59
A0AAF0Y8C4_Vanrija	A0AAF0Y8C4	AFDB	89.6
A0AAJ4XLQ0_Melanopsichium	A0AAJ4XLQ0	AFDB	90.61
A0AAJ8KXR9_Kwoniella	A0AAJ8KXR9	AFDB	86.44
A0AAW0BFE3_Favolaschia	A0AAW0BFE3	AFDB	79.96
A0AAW0E6V9_Favolaschia	A0AAW0E6V9	AFDB	88.21
A0AAW0YJW9_Kwoniella	A0AAW0YJW9	AFDB	90.26
A0AAX4K6B3_Kwoniella	A0AAX4K6B3	AFDB	91.29
A0AAX4K8N5_Kwoniella	A0AAX4K8N5	AFDB	82.4
A0AAX4KL96_Kwoniella	A0AAX4KL96	AFDB	90.37
A0ABP1CKG3_Somion	A0ABP1CKG3	AF2_ColabFold	83.35
A0ABP1DQJ8_Somion	A0ABP1DQJ8	AF2_ColabFold	87.48
A0ABP1E5U3_Somion	A0ABP1E5U3	AF2_ColabFold	89.87
A0ABP1E5U8_Somion	A0ABP1E5U8	AF2_ColabFold	89.33
A0ABP1E5X9_Somion	A0ABP1E5X9	AF2_ColabFold	91.04
A0ABR3BXI1_Cryptococcus	A0ABR3BXI1	AF2_ColabFold	88.16
A0ABR3JDG0_Hohenbuehelia	A0ABR3JDG0	AF2_ColabFold	90.35
A0ABR5B432_Cryptococcus	A0ABR5B432	AF2_ColabFold	85.92
A0ABR5C231_Cryptococcus	A0ABR5C231	AF2_ColabFold	87.52
A0ABY7D8X9_Puccinia	A0ABY7D8X9	AF2_ColabFold	91.04
A0ABZ2AN38_Cryptococcus	A0ABZ2AN38	AF2_ColabFold	88.79
A8N288_Coprinopsis	A8N288	AFDB	88.03
A8N8Y7_Coprinopsis	A8N8Y7	AFDB	90.3
D6RJX6_Coprinopsis	D6RJX6	AFDB	90.88
E3LA34_Puccinia	E3LA34	AFDB	89.33
E6RE98_Cryptococcus	E6RE98	AFDB	85.89
E7A0V7_Sporisorium	E7A0V7	AFDB	91.07
G4TC19_Serendipita	G4TC19	AFDB	89.06
G4TCR9_Serendipita	G4TCR9	AFDB	90.16
G7DW85_Mixia	G7DW85	AFDB	87.16
J4G0H3_Fibroporia	J4G0H3	AFDB	90.81
J9VZB8_Cryptococcus	J9VZB8	AFDB	91.03
J9W1Z3_Cryptococcus	J9W1Z3	AFDB	86.34
M7X6D4_Rhodotorula	M7X6D4	AFDB	87.02
Q5KCW7_Cryptococcus	Q5KCW7	AFDB	84.2
R7RYN2_Stereum	R7RYN2	AFDB	90.56
R9NXM4_Pseudozyma	R9NXM4	AFDB	89.44
V2Z1H8_Moniliophthora	V2Z1H8	AFDB	90.16
W3VVA0_Moesziomyces	W3VVA0	AFDB	90.5
A0A060SCN9_Trametes	A0A060SCN9	AFDB	88.53
A0A067Q5M5_Jaapia	A0A067Q5M5	AFDB	90.74
A0A095CAP8_Cryptococcus	A0A095CAP8	AFDB	91.18
A0A0D7BMU1_Cylindrobasidium	A0A0D7BMU1	AFDB	92.01
A0A0F7RVL5_Sporisorium	A0A0F7RVL5	AFDB	90.6
A0A0K6G747_Rhizoctonia	A0A0K6G747	AFDB	88.25
A0A0L0V172_Puccinia	A0A0L0V172	AFDB	91.01
A0A177TH00_Tilletia	A0A177TH00	AFDB	91.36
A0A177V7P0_Tilletia	A0A177V7P0	AFDB	91.33
A0A180GTA2_Puccinia	A0A180GTA2	AFDB	89.63
A0A1A5ZVX6_Kwoniella	A0A1A5ZVX6	AFDB	90.05
A0A1B9GQY0_Kwoniella	A0A1B9GQY0	AFDB	86.91
A0A1B9GYC6_Kwoniella	A0A1B9GYC6	AFDB	91.59
A0A1B9IG44_Kwoniella	A0A1B9IG44	AFDB	90.29
A0A1E3I3G1_Cryptococcus	A0A1E3I3G1	AFDB	90.22
A0A1E3JFJ4_Cryptococcus	A0A1E3JFJ4	AFDB	88.6
A0A1J8Q9H0_Rhizopogon	A0A1J8Q9H0	AFDB	85.95
A0A1M2VTG0_Trametes	A0A1M2VTG0	AFDB	87.11
A0A1M8AB69_Malassezia	A0A1M8AB69	AFDB	90.29
A0A1Q3E1Z4_Lentinula	A0A1Q3E1Z4	AFDB	90.73
A0A284RQ68_Armillaria	A0A284RQ68	AFDB	88.57
A0A286UKZ0_Pyrrhoderma	A0A286UKZ0	AFDB	88.64
A0A2S4URQ4_Puccinia	A0A2S4URQ4	AFDB	91.17
A0A369K4X4_Hypsizygus	A0A369K4X4	AFDB	89.87
A0A369KAK7_Hypsizygus	A0A369KAK7	AFDB	89.81
A0A3G2S9J2_Malassezia	A0A3G2S9J2	AFDB	91.24
A0A401G8C9_Sparassis	A0A401G8C9	AFDB	83.94
A0A401H636_Sparassis	A0A401H636	AFDB	88.75
A0A409VCH1_Gymnopilus	A0A409VCH1	AFDB	83.39
A0A409Y7J2_Panaeolus	A0A409Y7J2	AFDB	89.31
A0A4Q2DRZ9_Candolleomyces	A0A4Q2DRZ9	AFDB	88.75
A0A4S4LHT0_Phellinidium	A0A4S4LHT0	AFDB	90.93
A0A4U7KPQ9_Sporisorium	A0A4U7KPQ9	AFDB	90.42
A0A4V3XJE3_Antrodiella	A0A4V3XJE3	AFDB	91.73
A0A5B0N0I5_Puccinia	A0A5B0N0I5	AFDB	89.6
A0A5C3EV21_Pseudozyma	A0A5C3EV21	AFDB	83.6
A0A5C3EZA1_Pseudozyma	A0A5C3EZA1	AFDB	90.36
A0A5D3AUK3_Cryptococcus	A0A5D3AUK3	AFDB	89.84
A0A5M6C8X0_Kwoniella	A0A5M6C8X0	AFDB	85.62
A0A8H4VJS1_Agrocybe	A0A8H4VJS1	AFDB	91.12
A0A8H5B4L3_Psilocybe	A0A8H5B4L3	AFDB	92.35
A0A8H5GCJ7_Leucocoprinus	A0A8H5GCJ7	AFDB	75.81
A0A8H5HQ47_Collybiopsis	A0A8H5HQ47	AFDB	91.09
A0A8H6T2J5_Mycena	A0A8H6T2J5	AFDB	90.93
A0A8H6WB99_Mycena	A0A8H6WB99	AFDB	90.58
A0A8H6WYH6_Mycena	A0A8H6WYH6	AFDB	88.81
A0A8H6Z6T2_Mycena	A0A8H6Z6T2	AFDB	89.94
A0A9P3G3Y6_Phanerochaete	A0A9P3G3Y6	AFDB	83.15
A0A9P3US95_Lyophyllum	A0A9P3US95	AFDB	91.0
A0A9Q5HZ83_Sanghuangporus	A0A9Q5HZ83	AFDB	91.11
A0AAD2HQZ9_Mycena	A0AAD2HQZ9	AFDB	87.86
A0AAD2HTN7_Mycena	A0AAD2HTN7	AFDB	83.7
A0AAD5VEU9_Meripilus	A0AAD5VEU9	AFDB	90.87
A0AAD5W3A8_Leucocoprinus	A0AAD5W3A8	AFDB	89.56
A0AAD5YMS7_Meripilus	A0AAD5YMS7	AFDB	84.37
A0AAD7TYJ6_Trametes	A0AAD7TYJ6	AFDB	91.98
A0AAJ8M2S8_Cryptococcus	A0AAJ8M2S8	AFDB	84.67
A0AAW0YQW8_Kwoniella	A0AAW0YQW8	AFDB	82.73
A0ABP1DQU6_Somion	A0ABP1DQU6	AF2_ColabFold	88.44
A0ABP1DT00_Somion	A0ABP1DT00	AF2_ColabFold	88.9
A0ABQ0L4N8_Mycena	A0ABQ0L4N8	AF2_ColabFold	80.83
A0ABQ0M0T4_Mycena	A0ABQ0M0T4	AF2_ColabFold	85.5
A0ABR3BM64_Cryptococcus	A0ABR3BM64	AF2_ColabFold	85.96
A0ABR5BG99_Cryptococcus	A0ABR5BG99	AF2_ColabFold	88.1
A0ABR5BLN6_Cryptococcus	A0ABR5BLN6	AF2_ColabFold	85.13
A0ABZ1DBQ0_Kwoniella	A0ABZ1DBQ0	AF2_ColabFold	86.01
A0ABZ2B030_Cryptococcus	A0ABZ2B030	AF2_ColabFold	85.67
E6R3E7_Cryptococcus	E6R3E7	AFDB	90.67
G7DW84_Mixia	G7DW84	AFDB	87.65
I2G1B8_Ustilago	I2G1B8	AFDB	90.52
J4I8G7_Fibroporia	J4I8G7	AFDB	88.47
K1WDM8_Trichosporon	K1WDM8	AFDB	85.33
Q5KKJ1_Cryptococcus	Q5KKJ1	AFDB	90.55
R9AGB8_Wallemia	R9AGB8	AFDB	91.2
U5H9L9_Microbotryum	U5H9L9	AFDB	79.03
V2XGD7_Moniliophthora	V2XGD7	AFDB	86.57
V5GHH8_Kalmanozyma	V5GHH8	AFDB	87.97
A0A0B7G341_Rhizoctonia	A0A0B7G341	AFDB	87.71
A0A0K6G754_Rhizoctonia	A0A0K6G754	AF2_ColabFold	82.23
A0A0K6GA87_Rhizoctonia	A0A0K6GA87	AFDB	85.06
A0A1Y2IYW8_Trametes	A0A1Y2IYW8	AFDB	88.97
A0A284RAN9_Armillaria	A0A284RAN9	AFDB	90.7
A0A286UR16_Pyrrhoderma	A0A286UR16	AFDB	89.61
A0A4S4LN17_Bondarzewia	A0A4S4LN17	AFDB	77.46
A0A4S4MSG5_Antrodiella	A0A4S4MSG5	AFDB	83.31
A0A4Y9YSR9_Dentipellis	A0A4Y9YSR9	AFDB	88.65
A0A8H5M0W8_Tricholomella	A0A8H5M0W8	AFDB	89.21
A0A8H6YXU7_Mycena	A0A8H6YXU7	AFDB	89.05
A0A8H7DCL8_Mycena	A0A8H7DCL8	AFDB	89.52
A0A9P8AFI1_Marasmius	A0A9P8AFI1	AFDB	86.62
A0A9P8AFL8_Marasmius	A0A9P8AFL8	AFDB	87.53
A0A9W8ML86_Candolleomyces	A0A9W8ML86	AFDB	88.69
A0AAD5UZ43_Meripilus	A0AAD5UZ43	AFDB	89.22
A0ABP1CKG6_Somion	A0ABP1CKG6	AF2_ColabFold	85.13
A0ABP1CNA1_Somion	A0ABP1CNA1	AF2_ColabFold	85.39
A0ABP1CNE3_Somion	A0ABP1CNE3	AF2_ColabFold	85.44
A0ABQ0KXJ8_Mycena	A0ABQ0KXJ8	AF2_ColabFold	88.91
A0ACB7IKH0_Pleurotus	A0ACB7IKH0	AF2_ColabFold	85.61
A0ACC1P622_Trametes	A0ACC1P622	AF2_ColabFold	74.52
V2XWW7_Moniliophthora	V2XWW7	AFDB	88.61
I1BKX4_Rhizopus	I1BKX4	AFDB	90.65
Q9H611_Homo	Q9H611	AFDB	91.14
A0A015N2M8_Rhizophagus	A0A015N2M8	AFDB	91.14
A0A0B7N3L9_Parasitella	A0A0B7N3L9	AFDB	88.25
A0A0B7NVF9_Parasitella	A0A0B7NVF9	AFDB	90.51
A0A0C9MZV3_Mucor	A0A0C9MZV3	AFDB	82.99
A0A0L0HTH8_Spizellomyces	A0A0L0HTH8	AFDB	93.09
A0A168NJR9_Absidia	A0A168NJR9	AFDB	92.72
A0A1C7NKC8_Choanephora	A0A1C7NKC8	AFDB	90.64
A0A1C7NS85_Choanephora	A0A1C7NS85	AFDB	88.16
A0A2Z6Q637_Rhizophagus	A0A2Z6Q637	AFDB	91.24
A0A507E7A0_Powellomyces	A0A507E7A0	AFDB	92.64
A0A507FMG7_Chytriomyces	A0A507FMG7	AFDB	91.4
A0A8H4A8B1_Gigaspora	A0A8H4A8B1	AFDB	88.86
A0A8H7Q426_Umbelopsis	A0A8H7Q426	AFDB	90.06
A0A8H7QRS8_Mucor	A0A8H7QRS8	AFDB	90.32
A0A8H7RPV3_Mucor	A0A8H7RPV3	AFDB	92.51
A0A8H7S720_Circinella	A0A8H7S720	AFDB	90.96
A0A8H7V8V8_Mucor	A0A8H7V8V8	AF2_ColabFold	75.55
A0A9N8Z8P5_Diversispora	A0A9N8Z8P5	AFDB	90.17
A0A9N8ZA40_Funneliformis	A0A9N8ZA40	AFDB	90.27
A0A9N8ZJ08_Ambispora	A0A9N8ZJ08	AFDB	91.47
A0A9N9HM59_Dentiscutata	A0A9N9HM59	AFDB	90.08
A0A9P3HAH0_Entomortierella	A0A9P3HAH0	AFDB	84.4
A0A9P3HF53_Entomortierella	A0A9P3HF53	AFDB	86.42
A0A9P3HK37_Entomortierella	A0A9P3HK37	AFDB	85.85
A0A9P3HK44_Entomortierella	A0A9P3HK44	AFDB	87.16
A0A9P3HKJ7_Entomortierella	A0A9P3HKJ7	AFDB	84.07
A0A9P6YYP4_Rhizopus	A0A9P6YYP4	AFDB	90.3
A0A9P7BV71_Rhizopus	A0A9P7BV71	AFDB	90.27
A0A9W4WTA5_Funneliformis	A0A9W4WTA5	AFDB	91.97
A0AAD7XWI0_Lichtheimia	A0AAD7XWI0	AFDB	91.25
A0AAN7D3L5_Mucor	A0AAN7D3L5	AFDB	89.98
A0AAN7D484_Mucor	A0AAN7D484	AFDB	89.73
A0ABQ8ESF1_Batrachochytrium	A0ABQ8ESF1	AF2_ColabFold	90.98
A0A015KD19_Rhizophagus	A0A015KD19	AFDB	89.39
A0A1M2VH00_Trametes	A0A1M2VH00	AFDB	88.4
A0A1Q3E2E1_Lentinula	A0A1Q3E2E1	AFDB	87.23
A0A261Y8L7_Bifiguratus	A0A261Y8L7	AFDB	84.58
A0A8H5FHN3_Ephemerocybe	A0A8H5FHN3	AFDB	88.97
A0A8H7Q1B8_Umbelopsis	A0A8H7Q1B8	AFDB	90.66
A0A9N9IT00_Cetraspora	A0A9N9IT00	AFDB	88.97
A0A9P3UKB6_Lyophyllum	A0A9P3UKB6	AFDB	88.19
A0ACB7J0F3_Pleurotus	A0ACB7J0F3	AF2_ColabFold	84.16
A0ACC1QDJ0_Trametes	A0ACC1QDJ0	AF2_ColabFold	87.47
A0ACC1T3Q8_Phlebia	A0ACC1T3Q8	AF2_ColabFold	80.48
A0ACC1T620_Phlebia	A0ACC1T620	AF2_ColabFold	88.62
A8PUE9_Malassezia	A8PUE9	AFDB	90.53
J4H1T8_Fibroporia	J4H1T8	AFDB	86.79
A0A0C3AWH9_Serendipita	A0A0C3AWH9	AFDB	89.96
A0A0D7ANQ6_Fistulina	A0A0D7ANQ6	AFDB	87.4
A0A0H2RNB9_Schizopora	A0A0H2RNB9	AFDB	92.08
A0A0H2S6Y4_Schizopora	A0A0H2S6Y4	AFDB	90.07
A0A2A9NU72_Amanita	A0A2A9NU72	AFDB	92.08
A0A4S8MSI0_Dendrothele	A0A4S8MSI0	AFDB	88.45
A0A9N9DSD6_Ambispora	A0A9N9DSD6	AFDB	91.74
A0ACA9NG08_Acaulospora	A0ACA9NG08	AF2_ColabFold	90.05
